district,neighborhood,room,living room,area (m2),age,floor,price,neighbourhoodScore
 Bakirkoy , Kartaltepe,2,1,90,45,3,260,D
 Cekmekoy , Merkez,3,1,150,11,0,850,D
 Fatih , Mevlanakapi,2,1,68,35,1,130,E
 Beyoglu , Kilicali Pasa,2,1,80,0,3,790,A+
 Bahcelievler , Bahcelievler,2,1,90,1,-2,400,C+
 Fatih , Seyyid Omer,1,1,65,42,1,165,D
 Kartal , Gumuspinar,4,1,195,29,4,250,C+
 Arnavutkoy , Bogazkoy Istiklal,2,1,107,2,3,200,E
 Beylikduzu , Adnan Kahveci,3,1,175,22,11,250,B+
 Beyoglu , Kilicali Pasa,2,1,130,50,5,800,A+
 Avcilar , Mustafa Kemal Pasa,1,1,65,1,0,190,E
 Cekmekoy , Merkez,2,1,147,11,2,670,D
 Sultanbeyli , Mimar Sinan,3,1,115,4,3,245,E
 Esenyurt , Osmangazi,1,1,86,0,1,230,E
 Esenyurt , Barbaros Hayrettin Pasa,2,1,180,8,5,250,E
 Eyupsultan , Mimar Sinan,3,1,156,0,0,1300,E
 Sancaktepe , Abdurrahmangazi,3,1,185,2,4,330,E
 Besiktas , Levent,4,1,360,5,21,2000,A+
 Beykoz , Merkez,2,1,90,25,1,220,D
 Cekmekoy , Merkez,2,1,95,7,4,230,D
 Sisli , Cumhuriyet,1,1,65,45,4,400,D
 Basaksehir , Basaksehir,2,1,85,30,5,210,B
 Kagithane , Merkez,1,1,77,4,10,450,D
 Beylikduzu , Kavakli,2,1,110,1,1,230,E
 Eyupsultan , Mimar Sinan,1,1,50,6,2,350,E
 Arnavutkoy , Arnavutkoy Merkez,3,1,110,5,5,150,D
 Avcilar , Gumuspala,3,1,120,25,3,190,C
 Kucukcekmece , Istasyon,2,1,84,11,5,260,B+
 Beyoglu , Firuzaga,1,1,65,50,0,190,B
 Besiktas , Ortakoy,4,1,280,20,4,2700,C+
 Sisli , Pasa,3,1,100,24,4,340,C
 Fatih , Cerrahpasa,3,1,125,40,1,300,C
 Beyoglu , Istiklal,1,0,65,2,12,300,D
 Sariyer , Resitpasa,2,1,60,30,2,350,B+
 Sisli , Mesrutiyet,2,1,100,26,4,360,B+
 Basaksehir , Bahcesehir 2. Kisim,3,1,180,23,2,320,B+
 Eyupsultan , Alibeykoy,1,1,63,0,3,250,B
 Kucukcekmece , Atakent,3,1,152,15,5,360,C+
 Kadikoy , Feneryolu,3,1,170,34,2,550,A+
 Kadikoy , Merdivenkoy,3,1,100,0,2,530,A
 Bahcelievler , Siyavuspasa,2,1,85,30,0,160,C+
 Zeytinburnu , Bestelsiz,2,1,75,30,1,160,C+
 Sariyer , Zekeriyakoy,3,1,135,25,5,680,A
 Kadikoy , Bostanci,4,1,190,40,3,600,A
 Sisli , Pasa,4,1,135,11,3,420,C
 Besiktas , Ulus,2,1,120,30,1,550,C+
 Pendik , Yeni,1,1,79,10,5,300,B
 Kucukcekmece , Atakent,3,1,125,35,2,350,C+
 Buyukcekmece , Ataturk,2,2,170,0,5,400,E
 Beyoglu , Hacimimi,2,1,80,35,2,350,C+
 Bahcelievler , Bahcelievler,2,1,162,3,0,700,C+
 Sisli , Tesvikiye,1,1,50,50,2,350,A
 Sisli , Merkez,1,1,70,11,2,400,D
